short_id,short_title,short_channel,short_url,source_video_id,source_video_url,detection_method,found_in_ytdata,found_in_description,status
eNU5FcmEwTc,ChatGPT non ha aiutato...,Camihawke,https://www.youtube.com/shorts/eNU5FcmEwTc,,,not_found,False,False,no_source
80cTxK_fA_Q,Dirò una cosa forte!!!,Camihawke,https://www.youtube.com/shorts/80cTxK_fA_Q,,,not_found,False,False,no_source
AS6paOwhdR0,Voi cose pensate quando qualcuno non vi risponde? Lavoriamo tutti insieme su questo,Camihawke,https://www.youtube.com/shorts/AS6paOwhdR0,,,not_found,False,False,no_source
wPFcvFEPSSQ,"Mai avere paura delle risposte, mai più!",Camihawke,https://www.youtube.com/shorts/wPFcvFEPSSQ,,,not_found,False,False,no_source
0HtHNdF2AIY,"Ludo zero street credibility, ma non ci si può dimenticare di lui",Camihawke,https://www.youtube.com/shorts/0HtHNdF2AIY,,,not_found,False,False,no_source
Ut11SY8_BTE,"Spero tutti d'accordo con la scelta della famiglia Gaunt in S, ingiustamente tagliati",Camihawke,https://www.youtube.com/shorts/Ut11SY8_BTE,,,not_found,False,False,no_source
911w9xOdX7g,"Viaggio in Romania con @Caleelyt a studiare i draghi, chi viene?",Camihawke,https://www.youtube.com/shorts/911w9xOdX7g,,,not_found,False,False,no_source
hATUt0UytWU,"Quando pensi di aver rotto il sistema, e invece...",Camihawke,https://www.youtube.com/shorts/hATUt0UytWU,,,not_found,False,False,no_source
LdaXe_BxGv0,Scusa Superman ma i supereroi non sono mai stati il mio core.,Camihawke,https://www.youtube.com/shorts/LdaXe_BxGv0,,,not_found,False,False,no_source
7N8LhdXMVXk,"Pericolo e incantesimo, pensavamo potesse esistere una sola parola...",Camihawke,https://www.youtube.com/shorts/7N8LhdXMVXk,,,not_found,False,False,no_source
