cluster_id,display_order,display_cluster_code,cluster_name,cluster_label,era,recency,frequency,engagement,clumpiness,frequency_log
4,1,C1,Recent Broad Active,C1 Recent Broad Active,2017-2019,0.10904872389791179,13.071152358855375,9.603518501413133,22.082702382595457,2.64412676961015
4,1,C1,Recent Broad Active,C1 Recent Broad Active,2020-2022,0.1241432374142654,16.606652806652807,9.741816964011138,30.08868363418095,2.868276830997962
4,1,C1,Recent Broad Active,C1 Recent Broad Active,2023-2026,0.14094746716697934,15.541208791208792,10.053570833939055,29.937147313512934,2.8058547698277074
2,2,C2,Recent Steady Conversational,C2 Recent Steady Conversational,2017-2019,0.14689323428116013,3.936598639455782,9.080664516889007,15.151517061716042,1.5966765595279524
2,2,C2,Recent Steady Conversational,C2 Recent Steady Conversational,2020-2022,0.12978477111573247,3.7109919571045578,9.014197851859892,17.43206453422542,1.549898492457809
2,2,C2,Recent Steady Conversational,C2 Recent Steady Conversational,2023-2026,0.1307756115892613,3.5986471251409244,10.284972108562863,17.107908291683213,1.5257621570079791
3,3,C3,Recent Bursty Conversational,C3 Recent Bursty Conversational,2017-2019,0.15085665441975118,4.05079006772009,11.993591347203086,79.56134673316588,1.6195446801038749
3,3,C3,Recent Bursty Conversational,C3 Recent Bursty Conversational,2020-2022,0.13549887570464886,4.599205136044024,11.820573170672528,92.61642432775403,1.7226246476745308
3,3,C3,Recent Bursty Conversational,C3 Recent Bursty Conversational,2023-2026,0.14493571147165213,4.434864694776589,11.401413192429555,91.73193840651146,1.692834625097982
1,4,C4,Recent Bursty Light,C4 Recent Bursty Light,2017-2019,0.1198099425572654,4.356610169491526,3.2224546357597204,44.577805976702074,1.678331343948813
1,4,C4,Recent Bursty Light,C4 Recent Bursty Light,2020-2022,0.1293407757330306,4.633468623165782,3.098662007488758,73.48002100421085,1.7287253489191283
1,4,C4,Recent Bursty Light,C4 Recent Bursty Light,2023-2026,0.13530066352757497,4.682328907048008,3.221064521677392,78.23653184226136,1.7373611675447829
6,5,C5,Dormant Conversational,C5 Dormant Conversational,2017-2019,0.4854551120954319,3.6307448494453247,12.47036009860891,25.697360385166895,1.5327177297694317
6,5,C5,Dormant Conversational,C5 Dormant Conversational,2020-2022,0.5502713241483482,3.8764684941260237,12.228161041324089,32.32580301292372,1.5844212886536069
6,5,C5,Dormant Conversational,C5 Dormant Conversational,2023-2026,0.5328312417131756,3.972187104930468,11.053021004490663,31.325644244327872,1.6038598046641557
5,6,C6,Dormant Light,C6 Dormant Light,2017-2019,0.49908544253149506,4.0142076502732245,3.114887448938651,23.108138097854372,1.61227541297374
5,6,C6,Dormant Light,C6 Dormant Light,2020-2022,0.5369288198666651,4.1016109045848825,2.8382951336230366,31.165857358493717,1.629556353499956
5,6,C6,Dormant Light,C6 Dormant Light,2023-2026,0.5604027372320056,4.206563706563706,3.0589182141689326,29.75527529197104,1.6499200808802468
