k,weighted_silhouette_score,total_weighted_distance,min_cluster_size,max_cluster_size,smallest_cluster_share,largest_cluster_share
2,0.4068757001678929,163955.0,24899,43719,0.3628639715526538,0.6371360284473462
3,0.2669866049877041,138415.0,19236,25217,0.2803346060800373,0.36749832405491273
4,0.2450133389768963,125700.0,10821,23037,0.15769914599667725,0.33572823457401846
5,0.25540531213741813,113016.0,8837,20447,0.12878544988195517,0.2979830365210295
6,0.2641938170921202,107746.0,3819,19298,0.05565595033373168,0.2812381590836224
7,0.2664032536522373,101403.0,5554,15790,0.0809408609985718,0.23011454720335772
8,0.2806390086428932,94904.0,4775,12559,0.06958815471159172,0.18302777696814246
9,0.3009272741512941,90794.0,2797,16104,0.040761899210119794,0.23469060596344982
10,0.27158118090547134,86894.0,3583,12546,0.05221661954589175,0.18283832230610045
