cluster,cluster_order,cluster_name,cluster_label,period_label,period_index,recency,coverage,engagement,delay,tenure,gini,recency_scaled,coverage_scaled,engagement_scaled,delay_scaled,tenure_scaled,gini_scaled,recency_inverted_scaled
C1,1,Brand Advocates,C1 Brand Advocates,2017-2019,1,0.090336,0.008403,1.4,1.710022,320.9284725,0.75,0.0,0.8738798983549553,0.7999999999999998,0.22299680353963122,0.16144330911742094,0.9375,1.0
C1,1,Brand Advocates,C1 Brand Advocates,2020-2022,2,0.104673,0.009346,1.4,2.433519,1005.374213,0.8,0.02171562034243339,1.0,0.7999999999999998,0.4834427168707195,0.5057542529139194,1.0,0.9782843796575666
C1,1,Brand Advocates,C1 Brand Advocates,2023-2026-03,3,0.110375,0.006623,1.5,3.7570414999999997,1987.871001,0.666667,0.030352187768851405,0.6358165039454327,1.0,0.9598870232420593,1.0,0.83333375,0.9696478122311486
C2,2,Active Supporters,C2 Active Supporters,2017-2019,1,0.218487,0.006303,1.0,1.830833,131.7256365,0.666667,0.19410465665782106,0.5930185903437207,0.0,0.2664865916596125,0.06626468037097746,0.83333375,0.8058953433421789
C2,2,Active Supporters,C2 Active Supporters,2020-2022,2,0.3971965,0.007477,1.0,2.2331944999999997,430.34599000000003,0.72,0.4647880390660026,0.7500334358700014,0.0,0.4113294982048596,0.21648587347142453,0.8999999999999999,0.5352119609339974
C2,2,Active Supporters,C2 Active Supporters,2023-2026-03,3,0.339956,0.006623,1.0,3.868472,1099.372963,0.666667,0.37808838319580257,0.6358165039454327,0.0,1.0,0.5530403946971205,0.83333375,0.6219116168041974
C3,3,Quiet Regulars,C3 Quiet Regulars,2017-2019,1,0.19958,0.004202,1.0,1.4725,92.745035,0.5,0.16546705926545252,0.31202353885248096,0.0,0.13749315359190958,0.04665545951087598,0.625,0.8345329407345474
C3,3,Quiet Regulars,C3 Quiet Regulars,2020-2022,2,0.609346,0.003738,1.0,1.708333,426.177211,0.5,0.7861215117476705,0.24996656412999865,0.0,0.2223887939036325,0.2143887660646044,0.625,0.21387848825232947
C3,3,Quiet Regulars,C3 Quiet Regulars,2023-2026-03,3,0.750552,0.002208,1.0,2.145556,1176.984387,0.0,1.0,0.045339039721813544,0.0,0.3797812137261865,0.5920828798286796,0.0,0.0
C4,4,Occasional Newcomers,C4 Occasional Newcomers,2017-2019,1,0.207983,0.002101,1.0,1.0905555,0.0,0.0,0.17819471203363746,0.031028487361241138,0.0,0.0,0.0,0.0,0.8218052879663625
C4,4,Occasional Newcomers,C4 Occasional Newcomers,2020-2022,2,0.323364,0.001869,1.0,2.182083,0.000498,0.0,0.35295721400269,0.0,0.0,0.39293027706196354,2.5051927401198606e-07,0.0,0.64704278599731
C4,4,Occasional Newcomers,C4 Occasional Newcomers,2023-2026-03,3,0.410596,0.002208,1.0,3.2291665,687.1165854999999,0.0,0.485083669586923,0.045339039721813544,0.0,0.769861513116035,0.34565451437962796,0.0,0.514916330413077
