channel_name,affinity_index
MrMarra,0.5955714617882147
IlMatricomio,0.5930309681936936
AdrianoMoretti,0.5874841012297435
RaissaMomo,0.583374268036684
SaraLaRusca,0.5814668021279864
THOMASBASILICO,0.46680949723619425
roccotnl,0.4286290283873692
ContenutiZero,0.3052672853095549
ValentinaBarbieri,0.298230163845962
CanaleDiVenti,0.2851845872587972
BellaGiandaOfficial,0.1770844008302866
ISABO,0.1564138432083242
AlessandraSpadina,0.135047003165389
TheLady,0.12500139411040703
DeboraFulli,0.11931782203785589
GliAutogol,0.1026216564289716
SmibieChannel,0.08544765445420224
CottoalDente,0.08245517141470927
ChiaraMaciTV,0.08124444637023874
DavideZambelli,0.07998075687461789
fitgreta,0.07581418752157353
AlicelikeAudrey,0.0592543825560243
DanieleDoesntMatter,0.05490878676639442
ChristianManzoni,0.0040565187886109156
LacasadiMattia,0.0
