cluster_id,display_order,display_cluster_code,cluster_name,cluster_label,era,recency,frequency,engagement,recency_scaled,frequency_scaled,engagement_scaled,recency_inverted_scaled
2,1,C1,Recent Active Thoughtful,C1 Recent Active Thoughtful,2019,0.3047766661969846,3.750993377483444,14.188254063816979,0.3151461974614325,1.0,0.35619117225641417,0.6848538025385675
2,1,C1,Recent Active Thoughtful,C1 Recent Active Thoughtful,2020,0.13355263157894734,2.5723684210526314,12.025553467000837,0.10972181366364755,0.4426329425374162,0.2900824203886719,0.8902781863363525
2,1,C1,Recent Active Thoughtful,C1 Recent Active Thoughtful,2021,0.14467532467532462,2.7818181818181817,20.63151416765053,0.12306615740950207,0.5416809019473864,0.5531467212818939,0.8769338425904979
2,1,C1,Recent Active Thoughtful,C1 Recent Active Thoughtful,2022,0.09090909090909088,2.6818181818181817,12.391161616161616,0.058560637111519785,0.494391299396424,0.30125821534118474,0.9414393628884802
2,1,C1,Recent Active Thoughtful,C1 Recent Active Thoughtful,2026,0.16666666666666666,3.1666666666666665,35.25,0.14945005782123721,0.7236742208556353,1.0,0.8505499421787628
1,2,C2,Recent Light,C2 Recent Light,2019,0.11167027646833988,2.3802395209580838,3.5736740804106075,0.0834686692107174,0.3517759492971692,0.03172802865883954,0.9165313307892826
1,2,C2,Recent Light,C2 Recent Light,2020,0.10099715099715097,2.0042735042735043,3.586658017908018,0.07066368988636933,0.1739831142803469,0.03212491757797435,0.9293363101136307
1,2,C2,Recent Light,C2 Recent Light,2021,0.10748299319727887,2.1360544217687076,3.9377551020408164,0.07844501649944162,0.23630178640184013,0.04285714285714286,0.9215549835005584
1,2,C2,Recent Light,C2 Recent Light,2022,0.04209799861973773,2.2142857142857144,3.55978835978836,0.0,0.27329705370361335,0.03130357431667477,1.0
1,2,C2,Recent Light,C2 Recent Light,2026,0.1,2.0,3.3,0.06946736759668591,0.17196219109440836,0.02336244541484716,0.9305326324033141
3,3,C3,Cooling Light,C3 Cooling Light,2019,0.42521480452410787,2.1163946061036194,3.7292422859846566,0.4596406920970319,0.22700473771156807,0.03648338865455282,0.540359307902968
3,3,C3,Cooling Light,C3 Cooling Light,2020,0.41733821733821735,1.934065934065934,3.801770451770452,0.4501908326032956,0.14078223336849913,0.03870040682267758,0.5498091673967044
3,3,C3,Cooling Light,C3 Cooling Light,2021,0.38479685452162515,2.0275229357798166,4.138379204892966,0.4111496464786322,0.1849776780350402,0.04898975735480683,0.5888503535213678
3,3,C3,Cooling Light,C3 Cooling Light,2022,0.33423913043478254,1.96875,4.210069444444445,0.35049350471718815,0.15718419029723263,0.051181162057253766,0.6495064952828118
3,3,C3,Cooling Light,C3 Cooling Light,2026,0.41428571428571426,1.7142857142857142,4.142857142857143,0.44652862151242784,0.0368490409488017,0.04912663755458517,0.5534713784875722
6,4,C4,Fading Thoughtful,C4 Fading Thoughtful,2019,0.5540610082870477,2.09674728940784,21.620578656817187,0.6142226821297415,0.21771359973420518,0.5833801336144991,0.3857773178702585
6,4,C4,Fading Thoughtful,C4 Fading Thoughtful,2020,0.5260504201680672,1.6722689075630253,16.034313725490197,0.5806172492418228,0.0169794600450361,0.41262094357393614,0.4193827507581772
6,4,C4,Fading Thoughtful,C4 Fading Thoughtful,2021,0.6270034843205574,1.920731707317073,24.378048780487806,0.7017347141017409,0.13447653053571867,0.6676696133773565,0.29826528589825907
6,4,C4,Fading Thoughtful,C4 Fading Thoughtful,2022,0.5142857142857142,2.0285714285714285,16.347619047619048,0.5665026568492548,0.18547350610896896,0.42219796215429406,0.4334973431507452
6,4,C4,Fading Thoughtful,C4 Fading Thoughtful,2026,0.6136363636363636,1.6363636363636365,16.424242424242426,0.68569764000857,0.0,0.42454016143972484,0.31430235999142997
5,5,C5,Dormant Conversational,C5 Dormant Conversational,2019,0.6752864157119477,2.158974358974359,5.8998514448514445,0.7596616952709034,0.24714053361132274,0.1028338869605245,0.24033830472909656
5,5,C5,Dormant Conversational,C5 Dormant Conversational,2020,0.5828178694158075,1.6494845360824741,5.82705776468663,0.648723448862122,0.006204821328148668,0.10060875263234241,0.35127655113787803
5,5,C5,Dormant Conversational,C5 Dormant Conversational,2021,0.8484848484848485,1.9393939393939394,6.093939393939394,0.967454844208694,0.14330182591200696,0.10876670636495964,0.03254515579130601
5,5,C5,Dormant Conversational,C5 Dormant Conversational,2022,0.7033248081841431,1.8235294117647058,5.519607843137255,0.7933004861633735,0.08850995129859249,0.09121072009589862,0.20669951383662655
5,5,C5,Dormant Conversational,C5 Dormant Conversational,2026,0.6125,1.75,5.625,0.6843342986979243,0.05373818471700258,0.09443231441048035,0.3156657013020757
4,6,C6,Dormant Light,C6 Dormant Light,2019,0.6735224586288416,2.0444444444444443,2.5820847362514026,0.7575454047766913,0.1929797922281693,0.001417437352662964,0.2424545952233087
4,6,C6,Dormant Light,C6 Dormant Light,2020,0.5921655580192166,1.7161862527716185,2.639578713968958,0.6599382480903525,0.03774779804511394,0.0031748951868240454,0.3400617519096475
4,6,C6,Dormant Light,C6 Dormant Light,2021,0.8756116811365431,1.988950276243094,2.63572744014733,1.0,0.16673682064678821,0.00305717065952537,0.0
4,6,C6,Dormant Light,C6 Dormant Light,2022,0.6956521739130436,1.7857142857142858,2.5357142857142856,0.784095317211699,0.07062732848520345,0.0,0.215904682788301
4,6,C6,Dormant Light,C6 Dormant Light,2026,0.575,2.5,3.1666666666666665,0.6393440354466141,0.4084102038492199,0.019286754002911206,0.3606559645533859
